Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobStability,IncomePerYearWorked,PromotionWaitTime,AgeGroup,OvertimeImpact,YearsLeftForRetirement,PromotionFrequency,DistanceEffect,OvertimePayRatio,WorkLifeBalanceImpact,YearsInRoleVsYearsAtCompany,JobSatisfactionPerformance,RelativeIncomeToDeptAvg,PerformancePerSatisfaction,SatisfactionPerformanceRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Attrition
41,1102,1,2,2,1,94,3,2,4,5993,19479,8,1,11,3,1,80,0,8,0,1,6,4,0,5,1.0,998.8333333333334,6,0.0,False,19,6.0,1102,0.0001668613382279,1,0.6666666666666666,12,-966.17264573991,0.75,1.3333333333333333,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
49,279,8,1,3,0,61,2,2,2,5130,24907,1,0,23,4,4,80,1,10,3,3,10,7,1,7,10.0,513.0,9,0.0,False,11,5.0,2232,0.0,0,0.7,8,-1151.2528616024974,2.0,0.5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
37,1373,2,2,4,0,92,2,1,3,2090,2396,6,1,15,3,2,80,0,7,3,3,0,0,0,0,1.1666666666666667,2090.0,0,0.0,False,23,0.0,2746,0.0004784688995215,3,0.0,9,-4191.252861602497,1.0,1.0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
33,1392,3,4,4,1,56,3,1,3,2909,23159,1,1,11,3,3,80,0,8,3,3,8,7,3,0,8.0,363.625,5,0.0,False,27,2.0,4176,0.0003437607425232,3,0.875,9,-3372.252861602497,1.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
27,591,2,1,1,0,40,3,1,2,3468,16632,9,0,12,3,4,80,1,6,3,3,2,2,2,2,0.6666666666666666,1734.0,0,0.0,False,33,0.6666666666666666,1182,0.0,0,1.0,6,-2813.252861602497,1.5,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
32,1005,2,2,4,0,79,3,1,4,3068,11864,1,0,13,3,3,80,0,8,2,2,7,7,3,6,8.0,438.2857142857143,4,0.0,False,28,1.75,2010,0.0,0,1.0,12,-3213.252861602497,0.75,1.3333333333333333,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
59,1324,3,3,3,1,81,4,1,1,2670,9964,4,1,20,4,1,80,3,12,3,2,1,0,0,0,3.0,2670.0,1,0.0,False,1,1.0,3972,0.0003745318352059,2,0.0,4,-3611.2528616024974,4.0,0.25,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
30,1358,24,1,4,0,67,3,1,3,2693,13335,1,0,22,4,2,80,1,1,2,3,1,0,0,0,1.0,2693.0,1,0.0,False,30,1.0,32592,0.0,0,0.0,12,-3588.252861602497,1.3333333333333333,0.75,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,216,23,3,4,0,44,2,3,3,9526,8787,1,0,21,4,2,80,0,10,2,3,9,7,1,8,10.0,1058.4444444444443,8,0.0,False,22,4.5,4968,0.0,0,0.7777777777777778,12,3244.7471383975026,1.3333333333333333,0.75,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
36,1299,27,3,3,0,94,3,2,3,5237,16577,6,0,13,3,2,80,2,17,3,2,7,7,7,7,2.833333333333333,748.1428571428571,0,0.0,False,24,0.875,35073,0.0,0,1.0,9,-1044.2528616024974,1.0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,809,16,3,1,0,84,4,1,2,2426,16479,1,0,13,3,3,80,1,6,5,3,5,4,0,3,6.0,485.2,5,0.0,False,25,5.0,12944,0.0,0,0.8,6,-3855.2528616024974,1.5,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
29,153,15,2,4,1,49,2,2,3,4193,12682,1,1,12,3,4,80,0,10,3,3,9,5,0,8,10.0,465.8888888888889,9,0.0,True,31,9.0,2295,0.0002384927259718,3,0.5555555555555556,9,-2088.252861602497,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
31,670,26,1,1,0,31,3,1,3,2911,15170,1,0,17,3,4,80,1,5,1,2,5,2,4,3,5.0,582.2,1,0.0,False,29,1.0,17420,0.0,0,0.4,9,-3370.252861602497,1.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,1346,19,2,2,0,93,3,1,4,2661,8758,1,0,11,3,3,80,1,3,2,3,2,2,1,2,3.0,1330.5,1,0.0,False,26,1.0,25574,0.0,0,1.0,12,-3620.2528616024974,0.75,1.3333333333333333,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28,103,24,3,3,0,50,2,1,3,2028,12947,5,1,14,3,2,80,0,6,4,3,4,2,0,3,1.2,507.0,4,0.0,True,32,4.0,2472,0.0004930966469428,3,0.5,9,-4253.252861602497,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
29,1389,21,4,2,1,51,4,3,1,9980,10195,1,0,11,3,3,80,1,10,1,3,10,9,8,8,10.0,998.0,2,0.0,False,31,1.1111111111111112,29169,0.0,0,0.9,3,3698.747138397503,3.0,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,334,5,2,1,0,80,4,1,2,3298,15053,1,1,12,3,4,80,2,7,5,2,6,2,0,5,7.0,549.6666666666666,6,0.0,False,28,6.0,1670,0.0003032140691328,2,0.3333333333333333,6,-2983.252861602497,1.5,0.6666666666666666,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1123,16,2,4,0,96,4,1,4,2935,7324,1,1,13,3,2,80,2,1,2,2,1,0,0,0,1.0,2935.0,1,0.0,True,38,1.0,17968,0.0003407155025553,2,0.0,12,-3346.252861602497,0.75,1.3333333333333333,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
53,1219,2,4,1,1,78,2,4,4,15427,22021,2,0,16,3,3,80,0,31,3,3,25,8,3,7,15.5,617.08,22,0.0,False,7,6.25,2438,0.0,0,0.32,12,8467.827354260091,0.75,1.3333333333333333,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
38,371,2,3,4,0,45,3,1,4,3944,4306,5,1,11,3,3,80,0,6,3,3,3,2,1,2,1.2,1314.6666666666667,2,0.0,False,22,1.5,742,0.0002535496957403,3,0.6666666666666666,12,-2337.252861602497,0.75,1.3333333333333333,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,673,11,2,1,1,96,4,2,3,4011,8232,1,0,18,3,4,80,1,5,5,2,4,2,1,3,5.0,1002.75,3,0.0,False,36,2.0,7403,0.0,0,0.5,9,-2270.252861602497,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,1218,9,4,3,0,82,2,1,1,3407,6986,7,0,23,4,2,80,0,10,4,3,5,3,0,3,1.4285714285714286,681.4,5,0.0,False,24,5.0,10962,0.0,0,0.6,4,-3552.17264573991,4.0,0.25,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
34,419,7,4,1,1,53,3,3,2,11994,21293,1,0,11,3,3,80,0,13,4,3,12,6,2,11,13.0,999.5,10,0.0,False,26,4.0,2933,0.0,0,0.5,6,5712.747138397503,1.5,0.6666666666666666,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,391,15,2,3,0,96,3,1,4,1232,19281,1,0,14,3,4,80,0,0,6,3,0,0,0,0,0.0,1232.0,0,0.0,False,39,0.0,5865,0.0,0,0.0,12,-5049.252861602497,0.75,1.3333333333333333,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34,699,6,1,2,0,83,3,1,1,2960,17102,2,0,11,3,3,80,0,8,2,3,4,2,1,3,4.0,740.0,3,0.0,False,26,2.0,4194,0.0,0,0.5,3,-3321.252861602497,3.0,0.3333333333333333,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
53,1282,5,3,3,1,58,3,5,3,19094,10735,4,0,11,3,4,80,1,26,3,2,14,13,4,8,6.5,1363.857142857143,10,0.0,False,7,2.8,6410,0.0,0,0.9285714285714286,9,12812.747138397504,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32,1125,16,1,2,1,72,1,1,1,3919,4681,1,1,22,4,2,80,0,10,5,3,10,2,6,7,10.0,391.9,4,0.0,True,28,1.4285714285714286,18000,0.000255167134473,3,0.2,4,-2362.252861602497,4.0,0.25,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
42,691,8,4,3,0,48,3,2,2,6825,21173,1,0,11,3,4,80,1,10,2,3,9,7,4,2,10.0,758.3333333333334,5,0.0,False,18,1.8,5528,0.0,0,0.7777777777777778,6,-134.17264573990997,1.5,0.6666666666666666,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,477,7,4,1,1,42,2,3,4,10248,2094,3,0,14,3,4,80,1,24,4,3,22,6,5,17,8.0,465.8181818181818,17,0.0,False,16,3.6666666666666665,3339,0.0,0,0.2727272727272727,12,3966.747138397503,0.75,1.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,705,2,4,2,1,83,3,5,1,18947,22822,3,0,12,3,4,80,0,22,2,2,2,2,2,1,7.333333333333333,9473.5,0,0.0,False,14,0.6666666666666666,1410,0.0,0,1.0,3,11987.827354260093,3.0,0.3333333333333333,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
33,924,2,3,3,0,78,3,1,4,2496,6670,4,0,11,3,4,80,0,7,3,3,1,1,0,0,1.75,2496.0,1,0.0,False,27,1.0,1848,0.0,0,1.0,12,-3785.2528616024974,0.75,1.3333333333333333,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
44,1459,10,4,4,0,41,3,2,4,6465,19121,2,1,13,3,4,80,0,9,5,4,4,2,1,3,4.5,1616.25,3,0.0,False,16,2.0,14590,0.0001546790409899,4,0.5,12,183.74713839750257,0.75,1.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
30,125,9,2,4,0,83,2,1,3,2206,16117,1,0,13,3,1,80,0,10,5,3,10,0,1,8,10.0,220.6,9,0.0,False,30,5.0,1125,0.0,0,0.0,9,-4075.2528616024974,1.0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
39,895,5,3,4,0,56,3,2,4,2086,3335,3,0,14,3,3,80,1,19,6,4,1,0,0,0,6.333333333333333,2086.0,1,0.0,False,21,1.0,4475,0.0,0,0.0,12,-4873.17264573991,0.75,1.3333333333333333,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
24,813,1,3,2,0,61,3,1,4,2293,3020,2,1,16,3,1,80,1,6,2,2,2,0,2,0,3.0,1146.5,0,0.0,False,36,0.6666666666666666,813,0.0004361098996947,2,0.0,12,-3988.2528616024974,0.75,1.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
43,1273,2,2,4,1,72,4,1,3,2645,21923,1,0,12,3,4,80,2,6,3,2,5,3,1,4,6.0,529.0,4,0.0,False,17,2.5,2546,0.0,0,0.6,9,-3636.2528616024974,1.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,869,3,2,1,0,86,2,1,3,2683,3810,1,1,14,3,3,80,0,3,2,3,3,2,0,2,3.0,894.3333333333334,3,0.0,False,10,3.0,2607,0.0003727171077152,3,0.6666666666666666,9,-4276.17264573991,1.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
35,890,2,3,4,1,97,3,1,4,2014,9687,1,0,13,3,1,80,0,2,3,3,2,2,2,2,2.0,1007.0,0,0.0,False,25,0.6666666666666666,1780,0.0,0,1.0,12,-4945.17264573991,0.75,1.3333333333333333,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,852,5,4,2,1,82,2,1,1,3419,13072,9,1,14,3,4,80,1,6,3,4,1,1,0,0,0.6666666666666666,3419.0,1,0.0,False,24,1.0,4260,0.000292483182217,4,1.0,3,-2862.252861602497,3.0,0.3333333333333333,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33,1141,1,3,3,1,42,4,2,1,5376,3193,2,0,19,3,1,80,2,10,3,3,5,3,1,3,5.0,1075.2,4,0.0,False,27,2.5,1141,0.0,0,0.6,3,-1583.17264573991,3.0,0.3333333333333333,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,464,4,2,3,0,75,3,1,4,1951,10910,1,0,12,3,3,80,1,1,3,3,1,0,0,0,1.0,1951.0,1,0.0,False,25,1.0,1856,0.0,0,0.0,12,-4330.252861602497,0.75,1.3333333333333333,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,1240,2,4,4,1,33,3,1,1,2341,19715,1,0,13,3,4,80,1,1,6,3,1,0,0,0,1.0,2341.0,1,0.0,False,33,1.0,2480,0.0,0,0.0,3,-3940.2528616024974,3.0,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1357,25,3,1,0,48,1,1,3,2293,10558,1,0,12,3,3,80,0,1,2,2,1,0,0,1,1.0,2293.0,1,0.0,False,34,1.0,33925,0.0,0,0.0,9,-3988.2528616024974,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
27,994,8,3,4,0,37,3,3,3,8726,2975,1,0,15,3,4,80,0,9,0,3,9,8,1,7,9.0,969.5555555555557,8,0.0,False,33,4.5,7952,0.0,0,0.8888888888888888,9,1766.82735426009,1.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,721,1,2,3,1,58,3,2,4,4011,10781,1,0,23,4,4,80,0,12,2,3,12,8,3,7,12.0,334.25,9,0.0,False,30,3.0,721,0.0,0,0.6666666666666666,16,-2270.252861602497,1.0,1.0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
41,1360,12,3,2,1,49,3,5,3,19545,16280,1,0,12,3,4,80,0,23,0,3,22,15,15,8,23.0,888.4090909090909,7,0.0,False,19,1.375,16320,0.0,0,0.6818181818181818,9,13263.747138397504,1.0,1.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
34,1065,23,4,2,0,72,3,2,3,4568,10034,1,0,20,4,3,80,0,10,2,3,9,5,8,7,10.0,507.55555555555554,1,0.0,False,26,1.0,24495,0.0,0,0.5555555555555556,12,-2391.17264573991,1.3333333333333333,0.75,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37,408,19,2,2,0,73,3,1,2,3022,10227,4,0,21,4,1,80,0,8,1,3,1,0,0,0,2.0,3022.0,1,0.0,False,23,1.0,7752,0.0,0,0.0,8,-3259.252861602497,2.0,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,1211,5,4,1,0,98,3,2,4,5772,20445,4,1,21,4,3,80,0,14,4,3,9,6,0,8,3.5,641.3333333333334,9,0.0,False,14,9.0,6055,0.0001732501732501,3,0.6666666666666666,16,-1187.17264573991,1.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,1229,8,1,4,0,36,4,1,4,2269,4892,1,0,19,3,4,80,0,1,2,3,1,0,0,1,1.0,2269.0,1,0.0,False,25,1.0,9832,0.0,0,0.0,12,-4012.2528616024974,0.75,1.3333333333333333,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
48,626,1,2,1,0,98,2,3,3,5381,19294,9,1,13,3,4,80,0,23,2,3,1,0,0,0,2.555555555555556,5381.0,1,0.0,False,12,1.0,626,0.0001858390633711,3,0.0,9,-900.2528616024974,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
28,1434,5,4,3,0,50,3,1,3,3441,11179,1,1,13,3,3,80,0,2,3,2,2,2,2,2,2.0,1720.5,0,0.0,False,32,0.6666666666666666,7170,0.000290613193839,2,1.0,9,-2840.252861602497,1.0,1.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
44,1488,1,5,2,1,75,3,2,1,5454,4009,5,1,21,4,3,80,1,9,2,2,4,3,1,3,1.8,1363.5,3,0.0,False,16,2.0,1488,0.0001833516685001,2,0.75,4,-1505.17264573991,4.0,0.25,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,1097,11,2,3,0,79,2,3,1,9884,8302,2,1,13,3,3,80,1,10,3,3,4,0,2,3,5.0,2471.0,2,0.0,True,25,1.3333333333333333,12067,0.0001011736139214,3,0.0,3,3602.7471383975026,3.0,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
